N°,Server duration,Client duration,Size
0,297,38,65499
1,92,19,65499
2,93,18,65499
3,90,14,65499
4,86,13,65499
5,85,12,65499
6,86,12,65499
7,85,12,65499
8,82,12,65499
9,82,11,65499
10,82,13,65499
11,84,12,65499
12,83,12,65499
13,82,21,65499
14,86,11,65499
15,81,16,65499
16,81,8,65499
17,81,8,65499
18,80,10,65499
19,80,10,65499
20,81,7,65499
21,80,11,65499
22,81,10,65499
23,80,8,65499
24,80,9,65499
25,82,8,65499
26,80,10,65499
27,81,10,65499
28,81,9,65499
29,80,8,65499
30,80,8,65499
31,84,10,65499
32,82,8,65499
33,79,10,65499
34,80,9,65499
35,80,8,65499
36,82,10,65499
37,83,12,65499
38,84,8,65499
39,83,8,65499
40,82,9,65499
41,83,9,65499
42,80,12,65499
43,85,9,65499
44,81,7,65499
45,79,9,65499
46,82,9,65499
47,80,9,65499
48,80,10,65499
49,82,8,65499
50,80,7,65499
51,80,8,65499
52,81,15,65499
53,85,11,65499
54,82,10,65499
55,83,14,65499
56,99,18,65499
57,107,18,65499
58,114,8,65499
59,125,8,65499
60,108,10,65499
61,113,9,65499
62,113,11,65499
63,108,8,65499
64,111,10,65499
65,99,9,65499
66,108,9,65499
67,99,8,65499
68,116,11,65499
69,98,13,65499
70,83,18,65499
71,87,13,65499
72,82,14,65499
73,85,16,65499
74,85,14,65499
75,86,15,65499
76,83,11,65499
77,80,9,65499
78,80,9,65499
79,80,8,65499
80,81,9,65499
81,83,7,65499
82,81,10,65499
83,80,9,65499
84,81,10,65499
85,81,8,65499
86,83,12,65499
87,80,9,65499
88,80,7,65499
89,81,11,65499
90,81,9,65499
91,80,8,65499
92,82,10,65499
93,80,9,65499
94,83,8,65499
95,80,10,65499
96,81,8,65499
97,79,8,65499
98,80,10,65499
99,83,8,65499
