N°,Server duration,Client duration,Size
0,726,86,65499
1,191,36,65499
2,194,27,65499
3,188,21,65499
4,229,21,65499
5,223,20,65499
6,225,13,65499
7,183,9,65499
8,305,10,65499
9,264,8,65499
10,267,10,65499
11,310,9,65499
12,312,8,65499
13,308,12,65499
14,312,7,65499
15,267,8,65499
16,266,10,65499
17,264,10,65499
18,347,9,65499
19,344,9,65499
20,305,9,65499
21,274,9,65499
22,265,8,65499
23,270,8,65499
24,269,10,65499
25,308,11,65499
26,263,9,65499
27,266,8,65499
28,263,9,65499
29,268,9,65499
30,263,11,65499
31,266,8,65499
32,262,12,65499
33,265,8,65499
34,349,10,65499
35,261,12,65499
36,264,8,65499
37,1541,10,65499
38,264,10,65499
39,263,11,65499
40,264,10,65499
41,391,12,65499
42,263,12,65499
43,305,10,65499
44,306,14,65499
45,304,14,65499
46,262,27,65499
47,258,10,65499
48,262,8,65499
49,347,10,65499
50,265,11,65499
51,263,7,65499
52,264,10,65499
53,306,16,65499
54,264,9,65499
55,266,21,65499
56,263,9,65499
57,264,7,65499
58,266,10,65499
59,311,9,65499
60,309,10,65499
61,269,10,65499
62,264,8,65499
63,305,7,65499
64,262,9,65499
65,387,7,65499
66,260,9,65499
67,258,9,65499
68,307,11,65499
69,266,7,65499
70,306,9,65499
71,264,8,65499
72,305,8,65499
73,263,11,65499
74,260,8,65499
75,267,10,65499
76,268,8,65499
77,347,9,65499
78,261,8,65499
79,262,8,65499
80,265,9,65499
81,261,8,65499
82,303,10,65499
83,265,8,65499
84,264,16,65499
85,266,9,65499
86,266,8,65499
87,303,8,65499
88,305,10,65499
89,387,9,65499
90,266,8,65499
91,263,12,65499
92,265,8,65499
93,265,9,65499
94,314,12,65499
95,268,10,65499
96,303,31,65499
97,351,9,65499
98,262,8,65499
99,304,10,65499
