N°,Server duration,Client duration,Size
0,90,0,572
1,90,0,572
2,87,0,572
3,86,0,572
4,88,0,572
5,85,0,572
6,88,0,572
7,86,0,572
8,88,0,572
9,88,0,572
10,87,5,572
11,90,0,572
12,88,0,572
13,87,0,572
14,88,0,572
15,88,0,572
16,87,0,572
17,88,0,572
18,86,1,572
19,85,0,572
20,87,1,572
21,86,1,572
22,87,0,572
23,86,0,572
24,89,0,572
25,88,0,572
26,86,0,572
27,86,0,572
28,87,1,572
29,87,0,572
30,87,1,572
31,87,0,572
32,265,0,572
33,86,0,572
34,89,1,572
35,89,0,572
36,87,0,572
37,88,0,572
38,88,0,572
39,87,0,572
40,88,0,572
41,87,0,572
42,87,0,572
43,88,0,572
44,87,1,572
45,87,0,572
46,87,0,572
47,88,0,572
48,87,0,572
49,88,0,572
50,88,0,572
51,85,0,572
52,88,0,572
53,88,0,572
54,87,0,572
55,88,0,572
56,88,0,572
57,88,0,572
58,90,0,572
59,88,0,572
60,88,1,572
61,89,0,572
62,87,0,572
63,86,0,572
64,88,0,572
65,85,0,572
66,86,0,572
67,270,0,572
68,88,0,572
69,86,0,572
70,86,0,572
71,87,0,572
72,87,0,572
73,87,0,572
74,87,0,572
75,87,0,572
76,87,0,572
77,265,0,572
78,86,0,572
79,86,0,572
80,92,0,572
81,86,0,572
82,88,0,572
83,90,0,572
84,87,0,572
85,85,0,572
86,87,1,572
87,87,0,572
88,95,0,572
89,87,0,572
90,86,0,572
91,85,0,572
92,87,0,572
93,86,1,572
94,88,0,572
95,88,0,572
96,86,0,572
97,86,0,572
98,88,0,572
99,88,0,572
