N°,Server duration,Client duration,Size
0,622,66,135451
1,77,17,135451
2,67,21,135451
3,99,21,135451
4,65,16,135451
5,69,15,135451
6,60,13,135451
7,66,14,135451
8,57,20,135451
9,57,9,135451
10,54,10,135451
11,54,11,135451
12,56,8,135451
13,55,27,135451
14,55,6,135451
15,70,4,135451
16,63,6,135451
17,64,6,135451
18,60,6,135451
19,62,9,135451
20,61,6,135451
21,59,7,135451
22,59,8,135451
23,65,7,135451
24,76,6,135451
25,62,6,135451
26,58,5,135451
27,58,6,135451
28,80,5,135451
29,52,5,135451
30,51,7,135451
31,55,6,135451
32,52,8,135451
33,51,6,135451
34,53,5,135451
35,53,5,135451
36,53,6,135451
37,55,8,135451
38,52,7,135451
39,51,5,135451
40,53,7,135451
41,53,7,135451
42,57,8,135451
43,53,5,135451
44,51,7,135451
45,52,6,135451
46,51,5,135451
47,53,5,135451
48,55,6,135451
49,53,5,135451
50,51,5,135451
51,51,6,135451
52,78,8,135451
53,62,8,135451
54,61,7,135451
55,62,8,135451
56,60,8,135451
57,60,8,135451
58,61,8,135451
59,58,22,135451
60,60,9,135451
61,52,22,135451
62,52,7,135451
63,52,6,135451
64,55,5,135451
65,52,6,135451
66,55,7,135451
67,53,5,135451
68,53,5,135451
69,55,8,135451
70,53,6,135451
71,52,5,135451
72,55,6,135451
73,54,4,135451
74,55,5,135451
75,69,5,135451
76,59,5,135451
77,53,9,135451
78,53,8,135451
79,52,6,135451
80,53,6,135451
81,52,7,135451
82,51,8,135451
83,51,8,135451
84,50,7,135451
85,59,7,135451
86,54,5,135451
87,56,4,135451
88,51,6,135451
89,54,8,135451
90,71,5,135451
91,64,4,135451
92,59,5,135451
93,64,7,135451
94,58,7,135451
95,59,7,135451
96,58,5,135451
97,58,6,135451
98,57,7,135451
99,54,7,135451
