N°,Server duration,Client duration,Size
0,1457,44,135451
1,307,10,135451
2,430,13,135451
3,435,10,135451
4,470,9,135451
5,514,10,135451
6,560,10,135451
7,728,11,135451
8,680,9,135451
9,556,7,135451
10,434,5,135451
11,472,4,135451
12,511,7,135451
13,468,7,135451
14,518,6,135451
15,514,6,135451
16,389,5,135451
17,344,6,135451
18,305,5,135451
19,433,5,135451
20,516,7,135451
21,427,7,135451
22,759,7,135451
23,643,8,135451
24,596,8,135451
25,514,7,135451
26,431,7,135451
27,476,6,135451
28,470,7,135451
29,559,8,135451
30,514,7,135451
31,391,6,135451
32,387,7,135451
33,346,5,135451
34,263,5,135451
35,307,5,135451
36,385,8,135451
37,343,5,135451
38,306,6,135451
39,355,5,135451
40,340,5,135451
41,387,7,135451
42,516,6,135451
43,516,6,135451
44,473,7,135451
45,510,6,135451
46,387,6,135451
47,358,6,135451
48,515,7,135451
49,646,7,135451
50,557,7,135451
51,635,6,135451
52,512,5,135451
53,387,7,135451
54,345,5,135451
55,384,8,135451
56,341,5,135451
57,470,7,135451
58,510,7,135451
59,476,6,135451
60,518,7,135451
61,519,7,135451
62,853,7,135451
63,781,7,135451
64,513,6,135451
65,472,7,135451
66,424,6,135451
67,471,6,135451
68,594,6,135451
69,516,6,135451
70,555,7,135451
71,510,5,135451
72,509,6,135451
73,636,7,135451
74,427,4,135451
75,435,4,135451
76,388,4,135451
77,389,6,135451
78,389,7,135451
79,348,6,135451
80,297,5,135451
81,303,6,135451
82,304,4,135451
83,347,4,135451
84,433,5,135451
85,382,7,135451
86,389,8,135451
87,385,4,135451
88,572,6,135451
89,471,7,135451
90,558,7,135451
91,515,6,135451
92,597,6,135451
93,591,5,135451
94,647,7,135451
95,960,7,135451
96,470,8,135451
97,303,7,135451
98,261,5,135451
99,387,9732,135451
