N°,Server duration,Client duration,Size
0,89,0,1261
1,45,0,1261
2,44,0,1261
3,45,0,1261
4,45,0,1261
5,44,0,1261
6,44,0,1261
7,45,0,1261
8,44,0,1261
9,45,0,1261
10,44,0,1261
11,46,0,1261
12,45,0,1261
13,44,0,1261
14,44,0,1261
15,44,1,1261
16,44,0,1261
17,45,0,1261
18,44,1,1261
19,44,0,1261
20,44,1,1261
21,44,0,1261
22,45,0,1261
23,44,0,1261
24,45,0,1261
25,45,0,1261
26,45,0,1261
27,47,0,1261
28,45,0,1261
29,44,1,1261
30,43,1,1261
31,44,0,1261
32,45,0,1261
33,44,0,1261
34,44,0,1261
35,45,0,1261
36,44,0,1261
37,44,0,1261
38,45,0,1261
39,44,0,1261
40,44,0,1261
41,44,0,1261
42,45,0,1261
43,43,0,1261
44,45,0,1261
45,45,0,1261
46,45,0,1261
47,43,0,1261
48,44,0,1261
49,44,1,1261
50,44,0,1261
51,44,0,1261
52,44,0,1261
53,45,0,1261
54,45,0,1261
55,43,0,1261
56,44,0,1261
57,261,1,1261
58,44,0,1261
59,45,0,1261
60,44,0,1261
61,44,0,1261
62,44,0,1261
63,45,0,1261
64,44,1,1261
65,44,0,1261
66,45,0,1261
67,44,0,1261
68,43,1,1261
69,44,0,1261
70,44,0,1261
71,44,0,1261
72,45,0,1261
73,43,0,1261
74,44,0,1261
75,45,0,1261
76,45,0,1261
77,44,0,1261
78,558,0,1261
79,45,0,1261
80,44,1,1261
81,44,0,1261
82,44,1,1261
83,44,0,1261
84,44,0,1261
85,44,0,1261
86,44,0,1261
87,44,0,1261
88,45,0,1261
89,44,0,1261
90,44,0,1261
91,44,0,1261
92,44,1,1261
93,44,0,1261
94,44,0,1261
95,44,0,1261
96,45,0,1261
97,44,1,1261
98,43,0,1261
99,44,0,1261
