N°,Server duration,Client duration,Size
0,559,230,76432
1,102,90,76432
2,97,64,76432
3,103,90,76432
4,94,49,76432
5,91,54,76432
6,95,52,76432
7,93,60,76432
8,90,57,76432
9,89,47,76432
10,91,48,76432
11,117,47,76432
12,149,47,76432
13,166,44,76432
14,133,38,76432
15,115,34,76432
16,133,19,76432
17,108,16,76432
18,123,18,76432
19,120,19,76432
20,125,14,76432
21,109,18,76432
22,116,31,76432
23,88,16,76432
24,87,17,76432
25,86,18,76432
26,86,29,76432
27,86,17,76432
28,89,15,76432
29,86,15,76432
30,90,16,76432
31,85,24,76432
32,93,16,76432
33,87,21,76432
34,86,13,76432
35,87,16,76432
36,86,15,76432
37,87,15,76432
38,86,14,76432
39,83,17,76432
40,89,23,76432
41,88,15,76432
42,100,14,76432
43,85,17,76432
44,88,24,76432
45,85,38,76432
46,85,13,76432
47,85,18,76432
48,85,15,76432
49,88,15,76432
50,85,14,76432
51,85,18,76432
52,84,13,76432
53,92,17,76432
54,84,26,76432
55,87,15,76432
56,84,15,76432
57,84,17,76432
58,84,17,76432
59,84,17,76432
60,84,16,76432
61,86,22,76432
62,87,14,76432
63,85,15,76432
64,83,17,76432
65,85,16,76432
66,85,21,76432
67,84,17,76432
68,83,37,76432
69,85,22,76432
70,86,18,76432
71,83,18,76432
72,83,17,76432
73,85,19,76432
74,84,16,76432
75,87,17,76432
76,83,15,76432
77,81,13,76432
78,83,18,76432
79,84,15,76432
80,85,15,76432
81,83,16,76432
82,82,28,76432
83,87,15,76432
84,84,16,76432
85,88,13,76432
86,85,19,76432
87,87,18,76432
88,85,22,76432
89,84,16,76432
90,85,18,76432
91,85,15,76432
92,85,20,76432
93,84,23,76432
94,88,18,76432
95,223,20,76432
96,86,13,76432
97,83,29,76432
98,84,15,76432
99,82,16,76432
