N°,Server duration,Client duration,Size
0,616,313,76432
1,331,52,76432
2,316,45,76432
3,320,52,76432
4,317,42,76432
5,354,46,76432
6,308,46,76432
7,392,30,76432
8,357,20,76432
9,396,29,76432
10,303,19,76432
11,313,19,76432
12,310,16,76432
13,309,15,76432
14,308,20,76432
15,348,20,76432
16,306,15,76432
17,357,17,76432
18,351,23,76432
19,310,18,76432
20,394,17,76432
21,308,22,76432
22,355,31,76432
23,307,17,76432
24,396,18,76432
25,312,16,76432
26,315,13,76432
27,311,25,76432
28,352,17,76432
29,397,17,76432
30,305,16,76432
31,364,19,76432
32,393,16,76432
33,307,17,76432
34,318,20,76432
35,391,24,76432
36,310,15,76432
37,309,15,76432
38,308,15,76432
39,391,24,76432
40,348,26,76432
41,305,15,76432
42,308,15,76432
43,308,18,76432
44,305,15,76432
45,351,17,76432
46,347,18,76432
47,348,30,76432
48,391,16,76432
49,342,20,76432
50,306,15,76432
51,311,14,76432
52,306,16,76432
53,347,24,76432
54,351,23,76432
55,314,15,76432
56,346,18,76432
57,301,15,76432
58,305,16,76432
59,309,14,76432
60,358,18,76432
61,391,17,76432
62,309,18,76432
63,391,16,76432
64,304,13,76432
65,304,16,76432
66,305,14,76432
67,390,15,76432
68,356,18,76432
69,306,14,76432
70,306,15,76432
71,310,18,76432
72,307,13,76432
73,307,17,76432
74,308,14,76432
75,307,19,76432
76,305,18,76432
77,309,22,76432
78,433,16,76432
79,304,16,76432
80,307,14,76432
81,304,15,76432
82,495,13,76432
83,307,16,76432
84,308,17,76432
85,348,22,76432
86,307,18,76432
87,309,15,76432
88,351,17,76432
89,351,14,76432
90,348,26,76432
91,316,16,76432
92,305,20,76432
93,348,18,76432
94,495,16,76432
95,493,17,76432
96,396,20,76432
97,307,18,76432
98,311,16,76432
99,306,14,76432
