N°,Server duration,Client duration,Size
0,387,1,680
1,89,0,680
2,90,0,680
3,85,0,680
4,86,0,680
5,88,1,680
6,89,0,680
7,90,0,680
8,92,0,680
9,90,0,680
10,88,1,680
11,89,0,680
12,90,1,680
13,88,0,680
14,88,1,680
15,89,0,680
16,88,1,680
17,89,1,680
18,89,1,680
19,89,0,680
20,88,0,680
21,88,0,680
22,88,0,680
23,91,0,680
24,91,0,680
25,90,1,680
26,90,0,680
27,91,0,680
28,89,1,680
29,89,0,680
30,90,0,680
31,89,0,680
32,89,1,680
33,90,0,680
34,89,1,680
35,276,0,680
36,90,0,680
37,88,1,680
38,89,0,680
39,90,0,680
40,90,0,680
41,88,1,680
42,90,0,680
43,90,0,680
44,90,1,680
45,88,0,680
46,89,1,680
47,89,0,680
48,88,1,680
49,88,1,680
50,89,1,680
51,88,0,680
52,86,1,680
53,85,1,680
54,90,0,680
55,91,0,680
56,88,1,680
57,90,0,680
58,92,0,680
59,89,1,680
60,88,1,680
61,89,1,680
62,89,0,680
63,87,1,680
64,89,0,680
65,89,0,680
66,89,0,680
67,86,0,680
68,89,0,680
69,90,1,680
70,89,0,680
71,89,1,680
72,89,1,680
73,90,0,680
74,89,1,680
75,89,1,680
76,92,0,680
77,91,0,680
78,89,0,680
79,93,0,680
80,90,0,680
81,88,1,680
82,91,0,680
83,90,0,680
84,90,1,680
85,88,0,680
86,88,0,680
87,88,1,680
88,89,0,680
89,89,0,680
90,138,0,680
91,91,1,680
92,88,0,680
93,89,1,680
94,92,0,680
95,97,0,680
96,90,0,680
97,88,0,680
98,90,0,680
99,89,1,680
